Training Log for All Configurations
Epoch 32: Loss = 0.0008
Epoch 33: Loss = 0.0111
Epoch 34: Loss = 0.0032
Epoch 35: Loss = 0.0081
Epoch 36: Loss = 0.0076
Epoch 37: Loss = 0.0123
Epoch 38: Loss = 0.0042
Epoch 39: Loss = 0.0081
Epoch 40: Loss = 0.0004
Epoch 41: Loss = 0.0220
Epoch 42: Loss = 0.0021
Epoch 43: Loss = 0.0018
Epoch 44: Loss = 0.0072
Epoch 45: Loss = 0.0125
Epoch 46: Loss = 0.0029
Epoch 47: Loss = 0.0090
Epoch 48: Loss = 0.0008
Epoch 49: Loss = 0.0041
Epoch 50: Loss = 0.0065
Epoch 51: Loss = 0.0103
Epoch 52: Loss = 0.0009
Epoch 53: Loss = 0.0089
Epoch 54: Loss = 0.0033
Epoch 55: Loss = 0.0048
Epoch 56: Loss = 0.0089
Epoch 57: Loss = 0.0120
Epoch 58: Loss = 0.0047
Epoch 59: Loss = 0.0060
Epoch 60: Loss = 0.0141
Epoch 61: Loss = 0.0024
Epoch 62: Loss = 0.0029
Epoch 63: Loss = 0.0068
Epoch 64: Loss = 0.0092
Epoch 65: Loss = 0.0077
Epoch 66: Loss = 0.0108
Epoch 67: Loss = 0.0061
Epoch 68: Loss = 0.0164
Epoch 69: Loss = 0.0008
Epoch 70: Loss = 0.0046
Epoch 71: Loss = 0.0032
Epoch 72: Loss = 0.0158
Epoch 73: Loss = 0.0038
Epoch 74: Loss = 0.0104
Epoch 75: Loss = 0.0133
Epoch 76: Loss = 0.0014
Epoch 77: Loss = 0.0109
Epoch 78: Loss = 0.0055
Epoch 79: Loss = 0.0107
Epoch 80: Loss = 0.0125
Epoch 81: Loss = 0.0075
Epoch 82: Loss = 0.0043
Epoch 83: Loss = 0.0141
Epoch 84: Loss = 0.0042
Epoch 85: Loss = 0.0068
Epoch 86: Loss = 0.0049
Epoch 87: Loss = 0.0096
Epoch 88: Loss = 0.0030
Epoch 89: Loss = 0.0098
Epoch 90: Loss = 0.0062
Epoch 91: Loss = 0.0088
Epoch 92: Loss = 0.0284
Epoch 93: Loss = 0.0153
Epoch 94: Loss = 0.0034
Epoch 95: Loss = 0.0010
Epoch 96: Loss = 0.0149
Epoch 97: Loss = 0.0075
Epoch 98: Loss = 0.0101
Epoch 99: Loss = 0.0102
Epoch 100: Loss = 0.0050
Epoch 101: Loss = 0.0081
Epoch 102: Loss = 0.0087
Epoch 103: Loss = 0.0052
Epoch 104: Loss = 0.0019
Epoch 105: Loss = 0.0089
Epoch 106: Loss = 0.0051
Epoch 107: Loss = 0.0089
Epoch 108: Loss = 0.0127
Epoch 109: Loss = 0.0221
Epoch 110: Loss = 0.0114
Epoch 111: Loss = 0.0216
Epoch 112: Loss = 0.0059
Epoch 113: Loss = 0.0164
Epoch 114: Loss = 0.0086
Epoch 115: Loss = 0.0030
Epoch 116: Loss = 0.0045
Epoch 117: Loss = 0.0165
Epoch 118: Loss = 0.0013
Epoch 119: Loss = 0.0051
Epoch 120: Loss = 0.0152
Epoch 121: Loss = 0.0088
Epoch 122: Loss = 0.0014
Epoch 123: Loss = 0.0112
Epoch 124: Loss = 0.0099
Epoch 125: Loss = 0.0099
Epoch 126: Loss = 0.0152
Epoch 127: Loss = 0.0048
Epoch 128: Loss = 0.0118
Epoch 129: Loss = 0.0024
Epoch 130: Loss = 0.0058
Epoch 131: Loss = 0.0081
Epoch 132: Loss = 0.0086
Epoch 133: Loss = 0.0025
Epoch 134: Loss = 0.0059
Epoch 135: Loss = 0.0134
Epoch 136: Loss = 0.0075
Epoch 137: Loss = 0.0024
Epoch 138: Loss = 0.0018
Epoch 139: Loss = 0.0037
Epoch 140: Loss = 0.0135
Epoch 141: Loss = 0.0090
Epoch 142: Loss = 0.0064
Epoch 143: Loss = 0.0072
Epoch 144: Loss = 0.0024
Epoch 145: Loss = 0.0015
Epoch 146: Loss = 0.0074
Epoch 147: Loss = 0.0070
Epoch 148: Loss = 0.0062
Epoch 149: Loss = 0.0066
Epoch 150: Loss = 0.0025
Final Loss: 0.0025
Training Time: 1.63 seconds
----------------------------------------
Configuration: code1_dynamic1_ir0_cfg1
Epoch 1: Loss = 0.0262
Epoch 2: Loss = 0.0160
Epoch 3: Loss = 0.0244
Epoch 4: Loss = 0.0193
Epoch 5: Loss = 0.0077
Epoch 6: Loss = 0.0093
Epoch 7: Loss = 0.0016
Epoch 8: Loss = 0.0273
Epoch 9: Loss = 0.0247
Epoch 10: Loss = 0.0203
Epoch 11: Loss = 0.0148
Epoch 12: Loss = 0.0078
Epoch 13: Loss = 0.0027
Epoch 14: Loss = 0.0044
Epoch 15: Loss = 0.0045
Epoch 16: Loss = 0.0104
Epoch 17: Loss = 0.0092
Epoch 18: Loss = 0.0208
Epoch 19: Loss = 0.0099
Epoch 20: Loss = 0.0079
Epoch 21: Loss = 0.0062
Epoch 22: Loss = 0.0053
Epoch 23: Loss = 0.0135
Epoch 24: Loss = 0.0087
Epoch 25: Loss = 0.0045
Epoch 26: Loss = 0.0035
Epoch 27: Loss = 0.0042
Epoch 28: Loss = 0.0041
Epoch 29: Loss = 0.0014
Epoch 30: Loss = 0.0012
Epoch 31: Loss = 0.0135
Epoch 32: Loss = 0.0042
Epoch 33: Loss = 0.0051
Epoch 34: Loss = 0.0062
Epoch 35: Loss = 0.0034
Epoch 36: Loss = 0.0111
Epoch 37: Loss = 0.0052
Epoch 38: Loss = 0.0046
Epoch 39: Loss = 0.0080
Epoch 40: Loss = 0.0077
Epoch 41: Loss = 0.0082
Epoch 42: Loss = 0.0060
Epoch 43: Loss = 0.0081
Epoch 44: Loss = 0.0009
Epoch 45: Loss = 0.0048
Epoch 46: Loss = 0.0099
Epoch 47: Loss = 0.0153
Epoch 48: Loss = 0.0027
Epoch 49: Loss = 0.0109
Epoch 50: Loss = 0.0048
Epoch 51: Loss = 0.0081
Epoch 52: Loss = 0.0135
Epoch 53: Loss = 0.0044
Epoch 54: Loss = 0.0075
Epoch 55: Loss = 0.0028
Epoch 56: Loss = 0.0103
Epoch 57: Loss = 0.0107
Epoch 58: Loss = 0.0042
Epoch 59: Loss = 0.0033
Epoch 60: Loss = 0.0123
Epoch 61: Loss = 0.0091
Epoch 62: Loss = 0.0030
Epoch 63: Loss = 0.0011
Epoch 64: Loss = 0.0063
Epoch 65: Loss = 0.0041
Epoch 66: Loss = 0.0033
Epoch 67: Loss = 0.0099
Epoch 68: Loss = 0.0035
Epoch 69: Loss = 0.0079
Epoch 70: Loss = 0.0062
Epoch 71: Loss = 0.0086
Epoch 72: Loss = 0.0066
Epoch 73: Loss = 0.0035
Epoch 74: Loss = 0.0081
Epoch 75: Loss = 0.0078
Epoch 76: Loss = 0.0049
Epoch 77: Loss = 0.0052
Epoch 78: Loss = 0.0027
Epoch 79: Loss = 0.0037
Epoch 80: Loss = 0.0143
Epoch 81: Loss = 0.0090
Epoch 82: Loss = 0.0109
Epoch 83: Loss = 0.0072
Epoch 84: Loss = 0.0026
Epoch 85: Loss = 0.0048
Epoch 86: Loss = 0.0065
Epoch 87: Loss = 0.0030
Epoch 88: Loss = 0.0069
Epoch 89: Loss = 0.0152
Epoch 90: Loss = 0.0043
Epoch 91: Loss = 0.0148
Epoch 92: Loss = 0.0124
Epoch 93: Loss = 0.0025
Epoch 94: Loss = 0.0040
Epoch 95: Loss = 0.0038
Epoch 96: Loss = 0.0096
Epoch 97: Loss = 0.0086
Epoch 98: Loss = 0.0040
Epoch 99: Loss = 0.0094
Epoch 100: Loss = 0.0048
Epoch 101: Loss = 0.0039
Epoch 102: Loss = 0.0032
Epoch 103: Loss = 0.0065
Epoch 104: Loss = 0.0085
Epoch 105: Loss = 0.0077
Epoch 106: Loss = 0.0014
Epoch 107: Loss = 0.0076
Epoch 108: Loss = 0.0038
Epoch 109: Loss = 0.0033
Epoch 110: Loss = 0.0113
Epoch 111: Loss = 0.0036
Epoch 112: Loss = 0.0096
Epoch 113: Loss = 0.0071
Epoch 114: Loss = 0.0114
Epoch 115: Loss = 0.0082
Epoch 116: Loss = 0.0018
Epoch 117: Loss = 0.0098
Epoch 118: Loss = 0.0051
Epoch 119: Loss = 0.0025
Epoch 120: Loss = 0.0025
Epoch 121: Loss = 0.0032
Epoch 122: Loss = 0.0037
Epoch 123: Loss = 0.0067
Epoch 124: Loss = 0.0142
Epoch 125: Loss = 0.0131
Epoch 126: Loss = 0.0026
Epoch 127: Loss = 0.0077
Epoch 128: Loss = 0.0102
Epoch 129: Loss = 0.0074
Epoch 130: Loss = 0.0086
Epoch 131: Loss = 0.0047
Epoch 132: Loss = 0.0037
Epoch 133: Loss = 0.0043
Epoch 134: Loss = 0.0087
Epoch 135: Loss = 0.0190
Epoch 136: Loss = 0.0052
Epoch 137: Loss = 0.0041
Epoch 138: Loss = 0.0043
Epoch 139: Loss = 0.0054
Epoch 140: Loss = 0.0161
Epoch 141: Loss = 0.0053
Epoch 142: Loss = 0.0089
Epoch 143: Loss = 0.0033
Epoch 144: Loss = 0.0054
Epoch 145: Loss = 0.0081
Epoch 146: Loss = 0.0031
Epoch 147: Loss = 0.0041
Epoch 148: Loss = 0.0052
Epoch 149: Loss = 0.0033
Epoch 150: Loss = 0.0059
Final Loss: 0.0059
Training Time: 1.56 seconds
----------------------------------------
Configuration: code1_dynamic1_ir1_cfg0
Epoch 1: Loss = 0.0455
Epoch 2: Loss = 0.0192
Epoch 3: Loss = 0.0151
Epoch 4: Loss = 0.0029
Epoch 5: Loss = 0.0049
Epoch 6: Loss = 0.0096
Epoch 7: Loss = 0.0189
Epoch 8: Loss = 0.0078
Epoch 9: Loss = 0.0099
Epoch 10: Loss = 0.0114
Epoch 11: Loss = 0.0016
Epoch 12: Loss = 0.0025
Epoch 13: Loss = 0.0070
Epoch 14: Loss = 0.0055
Epoch 15: Loss = 0.0098
Epoch 16: Loss = 0.0143
Epoch 17: Loss = 0.0080
Epoch 18: Loss = 0.0065
Epoch 19: Loss = 0.0045
Epoch 20: Loss = 0.0134
Epoch 21: Loss = 0.0060
Epoch 22: Loss = 0.0083
Epoch 23: Loss = 0.0079
Epoch 24: Loss = 0.0104
Epoch 25: Loss = 0.0041
Epoch 26: Loss = 0.0083
